Order_ID,Cart_Value,Return_Rate,Pincode_Tier,Address_Quality,Is_COD,Is_RTO
ORD_00001,989,0.06,3,1,1,0
ORD_00002,595,0.1,2,2,1,0
ORD_00003,1116,0.04,2,7,1,0
ORD_00004,2249,0.14,2,3,1,1
ORD_00005,551,0.08,1,7,0,0
ORD_00006,551,0.26,1,6,1,0
ORD_00007,2352,0.09,2,5,1,1
ORD_00008,1228,0.21,1,10,0,0
ORD_00009,456,0.27,1,9,0,0
ORD_00010,1026,0.3,2,10,1,0
ORD_00011,459,0.08,2,5,1,0
ORD_00012,458,0.04,2,5,1,0
ORD_00013,807,0.04,3,8,0,0
ORD_00014,250,0.02,1,7,1,0
ORD_00015,250,0.23,1,1,1,1
ORD_00016,424,0.01,2,10,0,1
ORD_00017,295,0.17,3,2,0,0
ORD_00018,855,0.36,2,4,1,1
ORD_00019,321,0.16,1,9,1,0
ORD_00020,250,0.03,2,7,1,0
ORD_00021,2148,0.18,3,2,1,0
ORD_00022,555,0.06,1,8,1,0
ORD_00023,702,0.25,1,1,1,1
ORD_00024,250,0.07,2,8,1,0
ORD_00025,430,0.32,1,5,1,1
ORD_00026,726,0.04,2,1,1,0
ORD_00027,264,0.01,1,3,1,0
ORD_00028,898,0.17,1,7,1,0
ORD_00029,411,0.09,1,7,0,1
ORD_00030,526,0.02,1,8,1,0
ORD_00031,411,0.05,1,4,1,0
ORD_00032,2927,0.12,3,6,1,1
ORD_00033,657,0.04,1,7,1,0
ORD_00034,285,0.05,2,8,1,1
ORD_00035,1284,0.16,3,3,1,1
ORD_00036,250,0.22,1,5,1,1
ORD_00037,786,0.15,1,8,0,0
ORD_00038,250,0.01,2,6,0,0
ORD_00039,250,0.17,1,1,1,0
ORD_00040,778,0.3,2,2,1,0
ORD_00041,1200,0.04,3,3,0,0
ORD_00042,762,0.14,1,7,1,1
ORD_00043,606,0.21,2,10,1,1
ORD_00044,522,0.08,3,3,1,0
ORD_00045,250,0.12,1,9,0,0
ORD_00046,373,0.0,1,9,0,0
ORD_00047,460,0.22,2,8,0,0
ORD_00048,1549,0.02,3,9,1,0
ORD_00049,875,0.02,1,8,0,0
ORD_00050,250,0.19,1,9,0,0
ORD_00051,862,0.09,1,4,0,0
ORD_00052,488,0.11,1,4,1,0
ORD_00053,387,0.05,1,5,1,0
ORD_00054,1085,0.03,1,7,1,0
ORD_00055,1517,0.4,2,9,1,0
ORD_00056,1401,0.04,3,4,1,0
ORD_00057,339,0.51,3,7,1,1
ORD_00058,519,0.26,3,6,0,1
ORD_00059,866,0.05,1,9,1,0
ORD_00060,1451,0.13,1,9,1,0
ORD_00061,453,0.07,2,9,1,1
ORD_00062,573,0.09,2,5,0,0
ORD_00063,274,0.06,2,3,0,0
ORD_00064,255,0.28,1,6,1,1
ORD_00065,1274,0.04,2,2,1,0
ORD_00066,1968,0.18,1,7,1,0
ORD_00067,627,0.18,2,7,1,0
ORD_00068,1484,0.01,1,2,0,0
ORD_00069,888,0.06,3,6,0,0
ORD_00070,396,0.17,1,4,1,0
ORD_00071,888,0.03,3,7,1,0
ORD_00072,2276,0.1,3,8,1,0
ORD_00073,646,0.18,2,10,0,1
ORD_00074,2325,0.12,3,1,0,1
ORD_00075,250,0.33,1,5,0,1
ORD_00076,1283,0.01,2,9,1,0
ORD_00077,713,0.3,3,2,0,1
ORD_00078,523,0.16,1,4,0,0
ORD_00079,715,0.04,2,8,0,0
ORD_00080,250,0.08,1,5,0,0
ORD_00081,557,0.08,2,8,0,0
ORD_00082,885,0.21,3,10,1,1
ORD_00083,2169,0.05,2,10,1,1
ORD_00084,439,0.01,1,1,0,0
ORD_00085,348,0.05,3,7,1,0
ORD_00086,445,0.5,1,6,1,0
ORD_00087,1383,0.08,3,2,0,0
ORD_00088,865,0.06,3,7,1,0
ORD_00089,435,0.42,3,3,0,0
ORD_00090,1002,0.0,2,4,0,0
ORD_00091,718,0.27,2,6,0,0
ORD_00092,1443,0.26,2,3,0,0
ORD_00093,379,0.12,2,1,1,0
ORD_00094,511,0.03,1,10,0,0
ORD_00095,486,0.05,1,1,1,0
ORD_00096,250,0.07,2,6,1,0
ORD_00097,842,0.34,2,4,1,0
ORD_00098,819,0.31,2,7,1,0
ORD_00099,667,0.02,2,9,1,0
ORD_00100,551,0.24,2,8,0,1
ORD_00101,250,0.07,2,3,0,0
ORD_00102,475,0.3,1,7,1,0
ORD_00103,505,0.28,1,1,0,1
ORD_00104,350,0.07,1,2,0,0
ORD_00105,584,0.11,2,9,1,0
ORD_00106,918,0.0,1,10,1,0
ORD_00107,3007,0.05,2,8,0,0
ORD_00108,764,0.14,1,7,0,0
ORD_00109,817,0.01,1,10,0,0
ORD_00110,626,0.08,2,2,0,0
ORD_00111,250,0.08,1,2,1,1
ORD_00112,651,0.08,2,7,1,0
ORD_00113,697,0.03,3,7,0,0
ORD_00114,4772,0.31,2,6,0,1
ORD_00115,570,0.6,2,10,1,0
ORD_00116,846,0.05,2,5,0,0
ORD_00117,646,0.18,1,6,0,1
ORD_00118,261,0.05,2,9,1,1
ORD_00119,1659,0.04,1,4,0,0
ORD_00120,1213,0.2,1,10,1,0
ORD_00121,1252,0.09,1,1,1,0
ORD_00122,321,0.32,2,9,1,0
ORD_00123,2043,0.17,2,8,0,0
ORD_00124,250,0.04,3,2,0,0
ORD_00125,1063,0.16,2,4,0,0
ORD_00126,3836,0.05,1,3,0,0
ORD_00127,301,0.27,2,3,1,0
ORD_00128,422,0.04,2,6,0,0
ORD_00129,720,0.31,1,7,1,0
ORD_00130,444,0.05,1,8,1,0
ORD_00131,250,0.03,2,7,1,0
ORD_00132,702,0.06,2,9,1,0
ORD_00133,284,0.43,2,2,0,0
ORD_00134,971,0.02,2,10,1,0
ORD_00135,318,0.3,1,4,0,0
ORD_00136,2298,0.34,1,2,1,1
